candidate_name,wave,region_cluster,scope_level,decision,entity_id,notes
Opel,M01,Pioneiras globais,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Renault,M01,Pioneiras globais,A,published,01a010d9-28c8-734b-8208-0888551089ec,Já existe no SQLite canônico.
Peugeot,M01,Pioneiras globais,A,published,01a0102a-57e7-7f2b-bebc-fd556c26e81f,Já existe no SQLite canônico.
Citroën,M01,Pioneiras globais,A,published,01a010d9-28c2-7096-b44e-46cb4d0c6ad7,Já existe no SQLite canônico.
Rolls-Royce,M01,Pioneiras globais,A,published,01a0102a-57e9-7402-b40c-17fe692810ec,Já existe no SQLite canônico.
Morris,M02,Europa 1919-1945,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
MG,M02,Europa 1919-1945,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Riley,M02,Europa 1919-1945,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Standard,M02,Europa 1919-1945,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Triumph,M02,Europa 1919-1945,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Rover,M02,Europa 1919-1945,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Singer,M02,Europa 1919-1945,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Hillman,M02,Europa 1919-1945,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Talbot,M02,Europa 1919-1945,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Sunbeam,M02,Europa 1919-1945,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Alvis,M02,Europa 1919-1945,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Lagonda,M02,Europa 1919-1945,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Bentley,M02,Europa 1919-1945,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Aston Martin,M02,Europa 1919-1945,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
SS Cars,M02,Europa 1919-1945,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Jaguar,M02,Europa 1919-1945,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Delage,M02,Europa 1919-1945,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Delahaye,M02,Europa 1919-1945,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Voisin,M02,Europa 1919-1945,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Hotchkiss,M02,Europa 1919-1945,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Salmson,M02,Europa 1919-1945,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Amilcar,M02,Europa 1919-1945,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Mathis,M02,Europa 1919-1945,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Rosengart,M02,Europa 1919-1945,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Simca,M02,Europa 1919-1945,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Panhard,M02,Europa 1919-1945,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Bugatti,M02,Europa 1919-1945,A,published,01a01028-5456-74cd-8e02-ff30dece0237,Já existe no SQLite canônico.
BMW,M02,Europa 1919-1945,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Audi,M02,Europa 1919-1945,A,published,01a01028-5452-7d2d-8df1-441ee5876d0f,Já existe no SQLite canônico.
Volkswagen,M02,Europa 1919-1945,A,published,01a010d9-28c3-7fc4-9f3a-3e300e1d1b76,Já existe no SQLite canônico.
DKW,M02,Europa 1919-1945,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Horch,M02,Europa 1919-1945,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Wanderer,M02,Europa 1919-1945,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Adler,M02,Europa 1919-1945,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Maybach,M02,Europa 1919-1945,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Borgward,M02,Europa 1919-1945,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Hanomag,M02,Europa 1919-1945,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
NSU,M02,Europa 1919-1945,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Steyr,M02,Europa 1919-1945,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Austro-Daimler,M02,Europa 1919-1945,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Praga,M02,Europa 1919-1945,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Aero,M02,Europa 1919-1945,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Jawa,M02,Europa 1919-1945,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Auto Union,M02,Europa 1919-1945,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Chenard-Walcker,M02,Europa 1919-1945,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Lorraine-Dietrich,M02,Europa 1919-1945,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Corre La Licorne,M02,Europa 1919-1945,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Ballot,M02,Europa 1919-1945,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Donnet,M02,Europa 1919-1945,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
UNIC,M02,Europa 1919-1945,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Chevrolet,M03,Américas,A,published,04964a08-0f19-7d5d-9170-66fc7de2c8f1,Já existe no SQLite canônico.
Pontiac,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Oakland,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
LaSalle,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Saturn,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Hummer,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Mercury,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Edsel,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Continental,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Chrysler,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Plymouth,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
DeSoto,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Dodge,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Imperial,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Eagle,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Hudson,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Nash,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
AMC,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Kaiser,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Frazer,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Willys,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Jeep,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Tucker,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Cord,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Auburn,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Duesenberg,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Graham,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Avanti,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Tesla,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Rivian,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Lucid,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Fisker,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Karma,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Saleen,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Shelby,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Vector,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
DeLorean,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
McLaughlin,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Acadian,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Bricklin,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Mastretta,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
VUHL,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Crosley,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Franklin,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Marmon,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Stutz,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Hupmobile,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Moon,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Durant,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Star,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Ruxton,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Checker,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Geo,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Panoz,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Mosler,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
SSC North America,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Czinger,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Faraday Future,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Canoo,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Lordstown,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Aptera,M03,Américas,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Ferrari,M04,Itália esportiva e artesanal,A,published,01a010d9-28c4-766e-a135-aaa1e07de128,Já existe no SQLite canônico.
Maserati,M04,Itália esportiva e artesanal,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Lamborghini,M04,Itália esportiva e artesanal,A,published,01a010d9-28c6-75ce-9e74-78e287675339,Já existe no SQLite canônico.
Abarth,M04,Itália esportiva e artesanal,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Autobianchi,M04,Itália esportiva e artesanal,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Innocenti,M04,Itália esportiva e artesanal,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Iso,M04,Itália esportiva e artesanal,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Bizzarrini,M04,Itália esportiva e artesanal,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
De Tomaso,M04,Itália esportiva e artesanal,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Pagani,M04,Itália esportiva e artesanal,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Dallara,M04,Itália esportiva e artesanal,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Cisitalia,M04,Itália esportiva e artesanal,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
OSCA,M04,Itália esportiva e artesanal,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Siata,M04,Itália esportiva e artesanal,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Moretti,M04,Itália esportiva e artesanal,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
ASA,M04,Itália esportiva e artesanal,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Cizeta,M04,Itália esportiva e artesanal,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Qvale,M04,Itália esportiva e artesanal,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
DR Automobiles,M04,Itália esportiva e artesanal,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
OM,M04,Itália esportiva e artesanal,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Nardi,M04,Itália esportiva e artesanal,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Stanguellini,M04,Itália esportiva e artesanal,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Bandini,M04,Itália esportiva e artesanal,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Ermini,M04,Itália esportiva e artesanal,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Intermeccanica,M04,Itália esportiva e artesanal,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
ATS,M04,Itália esportiva e artesanal,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Serenissima,M04,Itália esportiva e artesanal,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Monteverdi,M04,Itália esportiva e artesanal,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Giannini,M04,Itália esportiva e artesanal,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Fornasari,M04,Itália esportiva e artesanal,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Mazzanti,M04,Itália esportiva e artesanal,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Pininfarina,M04,Itália esportiva e artesanal,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Bertone,M04,Itália esportiva e artesanal,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Lotus,M05,Reino Unido,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
McLaren,M05,Reino Unido,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
TVR,M05,Reino Unido,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Bristol,M05,Reino Unido,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Jensen,M05,Reino Unido,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Reliant,M05,Reino Unido,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Morgan,M05,Reino Unido,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Caterham,M05,Reino Unido,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Marcos,M05,Reino Unido,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Noble,M05,Reino Unido,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Ariel,M05,Reino Unido,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Ginetta,M05,Reino Unido,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
AC,M05,Reino Unido,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Austin-Healey,M05,Reino Unido,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Healey,M05,Reino Unido,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Mini,M05,Reino Unido,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Land Rover,M05,Reino Unido,A,published,01a010d9-28c4-7348-b3c2-bb473308aff8,Já existe no SQLite canônico.
Range Rover,M05,Reino Unido,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Vanden Plas,M05,Reino Unido,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Princess,M05,Reino Unido,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Daimler (British marque),M05,Reino Unido,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Lanchester,M05,Reino Unido,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Armstrong Siddeley,M05,Reino Unido,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Gordon-Keeble,M05,Reino Unido,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Gilbern,M05,Reino Unido,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Bond,M05,Reino Unido,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Berkeley,M05,Reino Unido,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Turner,M05,Reino Unido,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Peerless GT,M05,Reino Unido,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Warwick,M05,Reino Unido,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Panther,M05,Reino Unido,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Invicta,M05,Reino Unido,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Allard,M05,Reino Unido,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Frazer Nash,M05,Reino Unido,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
BAC,M05,Reino Unido,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Radical,M05,Reino Unido,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Ultima,M05,Reino Unido,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
LEVC,M05,Reino Unido,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Ineos,M05,Reino Unido,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Arrival,M05,Reino Unido,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Toyota,M06,Japão,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Toyopet,M06,Japão,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Lexus,M06,Japão,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Daihatsu,M06,Japão,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Nissan,M06,Japão,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Datsun,M06,Japão,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Infiniti,M06,Japão,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Prince,M06,Japão,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Honda,M06,Japão,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Acura,M06,Japão,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Mazda,M06,Japão,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Mitsubishi,M06,Japão,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Subaru,M06,Japão,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Suzuki,M06,Japão,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Isuzu,M06,Japão,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Scion,M06,Japão,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Eunos,M06,Japão,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Autozam,M06,Japão,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Mitsuoka,M06,Japão,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Tommykaira,M06,Japão,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Aspark,M06,Japão,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Ohta,M06,Japão,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Tama,M06,Japão,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Hino,M06,Japão,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Suminoe,M06,Japão,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Cony,M06,Japão,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Aichi Machine Industry,M06,Japão,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Dome,M06,Japão,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Buddy,M06,Japão,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Takeoka,M06,Japão,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Autech,M06,Japão,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Hyundai,M07,Coreia China Taiwan,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Genesis,M07,Coreia China Taiwan,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Kia,M07,Coreia China Taiwan,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Daewoo,M07,Coreia China Taiwan,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
SsangYong,M07,Coreia China Taiwan,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
KGM,M07,Coreia China Taiwan,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
Samsung Motors,M07,Coreia China Taiwan,A,needs_research,,"Reconciliar identidade, períodos, organizações, veículo e fontes."
