atlas_id,entity_type,canonical_name,slug,metadata_json,names_json,external_ids_json
gurgel:evt_br_start,event,Start of BR-800 production,,"{""event_type"": ""production_start"", ""realization_status"": ""occurred""}",,
p911:evt_000100,event,World premiere of Porsche 901 at IAA Frankfurt 1963,,"{""event_type"": ""presentation"", ""realization_status"": ""occurred""}",,
modelt:fac_highland,facility,Ford Highland Park Plant,,"{""facility_type"": ""factory""}",,
modelt:fac_piquette,facility,Ford Piquette Avenue Plant,,"{""facility_type"": ""factory""}",,
p917:org_000001,organization,Dr. Ing. h.c. F. Porsche AG,porsche-ag,"{""organization_type"": ""manufacturer""}","[{""value"": ""Porsche"", ""name_type"": ""commercial_name""}]",
modelt:org_ford,organization,Ford Motor Company,,"{""organization_type"": ""manufacturer""}",,
gurgel:org_gurgel,organization,Gurgel Motores S/A,,"{""organization_type"": ""manufacturer""}",,
p911:per_000100,person,Ferdinand Alexander Porsche,ferdinand-alexander-porsche,"{""roles"": [""designer""]}",,
p911:per_000101,person,Ferdinand Piëch,ferdinand-piech,"{""roles"": [""engineer"", ""executive""]}",,
p917:per_000002,person,Hans Herrmann,hans-herrmann,"{""roles"": [""driver""]}",,
p917:per_000001,person,Hans Mezger,hans-mezger,"{""roles"": [""engineer""]}",,
p917:per_000004,person,Jo Siffert,jo-siffert,"{""roles"": [""driver""]}",,
gurgel:per_gurgel,person,João Augusto Conrado do Amaral Gurgel,,"{""roles"": [""founder"", ""engineer"", ""entrepreneur""]}",,
p917:per_000005,person,Kurt Ahrens Jr.,kurt-ahrens-jr,"{""roles"": [""driver""]}",,
p917:per_000003,person,Richard Attwood,richard-attwood,"{""roles"": [""driver""]}",,
gurgel:plc_brazil,place,Brazil,,"{""place_type"": ""country""}",,
gurgel:plc_rioclaro,place,Rio Claro,,"{""place_type"": ""city""}",,
p917:team_000002,team,Karl Freiherr von Wendt,karl-freiherr-von-wendt-entrant,,,
p917:team_000001,team,Porsche Konstruktionen Salzburg,porsche-konstruktionen-salzburg,,"[{""value"": ""Porsche Salzburg"", ""name_type"": ""alias""}]",
modelt:tec_vanadium,technology,Extensive use of vanadium steel,,"{""technology_category"": ""materials""}",,
modelt:tec_moving_line,technology,Moving assembly line,,"{""technology_category"": ""manufacturing""}",,
p911:tec_000102,technology,Targa fixed rollover bar concept,targa-rollover-bar,"{""technology_category"": ""safety""}",,
p917:tec_000001,technology,Turbocharging,turbocharging,"{""technology_category"": ""engine""}",,
p911:tec_000101,technology,Water-cooled flat-six engine architecture,water-cooled-flat-six,"{""technology_category"": ""engine""}",,
modelt:veh_modelt,vehicle,Ford Model T,,"{""vehicle_level"": ""family"", ""vehicle_kind"": ""production""}",,
gurgel:veh_br800,vehicle,Gurgel BR-800,,"{""vehicle_level"": ""family"", ""vehicle_kind"": ""production""}",,
gurgel:veh_supermini,vehicle,Gurgel Supermini,,"{""vehicle_level"": ""family"", ""vehicle_kind"": ""production""}",,
p911:veh_000110,vehicle,Porsche 356,porsche-356,"{""vehicle_level"": ""family"", ""vehicle_kind"": ""production""}",,
p911:veh_000100,vehicle,Porsche 911,porsche-911,"{""vehicle_level"": ""family"", ""vehicle_kind"": ""production""}",,"[{""scheme"": ""wikidata"", ""value"": ""Q219357""}]"
p911:veh_000102,vehicle,Porsche 911 G-Series,porsche-911-g-series,"{""vehicle_level"": ""generation"", ""vehicle_kind"": ""production"", ""source_period"": ""1973/1974-1989""}","[{""value"": ""G model"", ""name_type"": ""alias""}]",
p911:veh_000101,vehicle,Porsche 911 Original,porsche-911-original,"{""vehicle_level"": ""generation"", ""vehicle_kind"": ""production"", ""source_period"": ""1963-1973""}","[{""value"": ""Porsche 901"", ""name_type"": ""historical_designation""}]",
p911:veh_000111,vehicle,Porsche 911 Targa (original generation),porsche-911-targa-original,"{""vehicle_level"": ""variant"", ""vehicle_kind"": ""production"", ""variant_role"": ""body_style""}",,
p911:veh_000112,vehicle,Porsche 911 Turbo (G-Series / Type 930),porsche-911-turbo-930,"{""vehicle_level"": ""variant"", ""vehicle_kind"": ""production"", ""variant_role"": ""performance""}","[{""value"": ""930"", ""name_type"": ""internal_code""}]",
p911:veh_000103,vehicle,Porsche 911 Type 964,porsche-911-964,"{""vehicle_level"": ""generation"", ""vehicle_kind"": ""production"", ""source_period"": ""1988-1994""}","[{""value"": ""964"", ""name_type"": ""internal_code""}]",
p911:veh_000107,vehicle,Porsche 911 Type 991,porsche-911-991,"{""vehicle_level"": ""generation"", ""vehicle_kind"": ""production"", ""source_period"": ""2011-2019""}","[{""value"": ""991"", ""name_type"": ""internal_code""}]",
p911:veh_000108,vehicle,Porsche 911 Type 992,porsche-911-992,"{""vehicle_level"": ""generation"", ""vehicle_kind"": ""production"", ""source_period"": ""2018-present""}","[{""value"": ""992"", ""name_type"": ""internal_code""}]",
p911:veh_000104,vehicle,Porsche 911 Type 993,porsche-911-993,"{""vehicle_level"": ""generation"", ""vehicle_kind"": ""production"", ""source_period"": ""1993-1998""}","[{""value"": ""993"", ""name_type"": ""internal_code""}]",
p911:veh_000105,vehicle,Porsche 911 Type 996,porsche-911-996,"{""vehicle_level"": ""generation"", ""vehicle_kind"": ""production"", ""source_period"": ""1997-2005""}","[{""value"": ""996"", ""name_type"": ""internal_code""}]",
p911:veh_000106,vehicle,Porsche 911 Type 997,porsche-911-997,"{""vehicle_level"": ""generation"", ""vehicle_kind"": ""production"", ""source_period"": ""2004-2012""}","[{""value"": ""997"", ""name_type"": ""internal_code""}]",
p917:veh_000020,vehicle,Porsche 917,porsche-917,"{""vehicle_level"": ""family"", ""vehicle_kind"": ""race_car""}",,"[{""scheme"": ""wikidata"", ""value"": ""Q1514835""}]"
p917:veh_000021,vehicle,Porsche 917 K,porsche-917-k,"{""vehicle_level"": ""variant"", ""vehicle_kind"": ""race_car"", ""variant_role"": ""racing""}","[{""value"": ""917 KH"", ""name_type"": ""alias""}, {""value"": ""Kurzheck"", ""name_type"": ""alias""}]",
p917:veh_000022,vehicle,Porsche 917 LH,porsche-917-lh,"{""vehicle_level"": ""variant"", ""vehicle_kind"": ""race_car"", ""variant_role"": ""racing""}","[{""value"": ""Langheck"", ""name_type"": ""alias""}]",
p917:veh_000023,vehicle,Porsche 917/10,porsche-917-10,"{""vehicle_level"": ""variant"", ""vehicle_kind"": ""race_car"", ""variant_role"": ""racing""}",,
p917:veh_000024,vehicle,Porsche 917/30,porsche-917-30,"{""vehicle_level"": ""variant"", ""vehicle_kind"": ""race_car"", ""variant_role"": ""racing""}",,
p911:veh_000109,vehicle,Porsche Type 754 T7,porsche-type-754-t7,"{""vehicle_level"": ""standalone"", ""vehicle_kind"": ""prototype""}",,
p917:vin_000001,vehicle_instance,Porsche 917-001,porsche-917-001,"{""serial_identifiers"": [{""type"": ""chassis"", ""value"": ""917-001""}], ""instance_status"": ""existing""}",,
p917:vin_000002,vehicle_instance,Porsche 917-023,porsche-917-023,"{""serial_identifiers"": [{""type"": ""chassis"", ""value"": ""917-023""}], ""instance_status"": ""existing""}",,
