atlas_id,label,description,entity_type,slug,external_ids_json
p911:evt_000105,Presentation of Porsche 911 Type 996,Atlas entity: event,event,,
p911:evt_000103,Presentation of first Porsche 911 Targa,Atlas entity: event,event,,
p911:evt_000101,Series production start of Porsche 901,Atlas entity: event,event,,
gurgel:evt_br_start,Start of BR-800 production,Atlas entity: event,event,,
p911:evt_000100,World premiere of Porsche 901 at IAA Frankfurt 1963,Atlas entity: event,event,,
modelt:fac_highland,Ford Highland Park Plant,Atlas entity: facility,facility,,
modelt:fac_piquette,Ford Piquette Avenue Plant,Atlas entity: facility,facility,,
p917:org_000001,Dr. Ing. h.c. F. Porsche AG,Atlas entity: organization,organization,porsche-ag,
modelt:org_ford,Ford Motor Company,Atlas entity: organization,organization,,
gurgel:org_gurgel,Gurgel Motores S/A,Atlas entity: organization,organization,,
p911:per_000100,Ferdinand Alexander Porsche,Atlas entity: person,person,ferdinand-alexander-porsche,
p911:per_000101,Ferdinand Piëch,Atlas entity: person,person,ferdinand-piech,
p917:per_000002,Hans Herrmann,Atlas entity: person,person,hans-herrmann,
p917:per_000001,Hans Mezger,Atlas entity: person,person,hans-mezger,
p917:per_000004,Jo Siffert,Atlas entity: person,person,jo-siffert,
gurgel:per_gurgel,João Augusto Conrado do Amaral Gurgel,Atlas entity: person,person,,
p917:per_000005,Kurt Ahrens Jr.,Atlas entity: person,person,kurt-ahrens-jr,
p917:per_000003,Richard Attwood,Atlas entity: person,person,richard-attwood,
gurgel:plc_brazil,Brazil,Atlas entity: place,place,,
gurgel:plc_rioclaro,Rio Claro,Atlas entity: place,place,,
p917:team_000002,Karl Freiherr von Wendt,Atlas entity: team,team,karl-freiherr-von-wendt-entrant,
p917:team_000001,Porsche Konstruktionen Salzburg,Atlas entity: team,team,porsche-konstruktionen-salzburg,
modelt:tec_vanadium,Extensive use of vanadium steel,Atlas entity: technology,technology,,
modelt:tec_moving_line,Moving assembly line,Atlas entity: technology,technology,,
p911:tec_000102,Targa fixed rollover bar concept,Atlas entity: technology,technology,targa-rollover-bar,
p917:tec_000001,Turbocharging,Atlas entity: technology,technology,turbocharging,
p911:tec_000101,Water-cooled flat-six engine architecture,Atlas entity: technology,technology,water-cooled-flat-six,
modelt:veh_modelt,Ford Model T,Atlas entity: vehicle,vehicle,,
gurgel:veh_br800,Gurgel BR-800,Atlas entity: vehicle,vehicle,,
gurgel:veh_supermini,Gurgel Supermini,Atlas entity: vehicle,vehicle,,
p911:veh_000110,Porsche 356,Atlas entity: vehicle,vehicle,porsche-356,
p911:veh_000100,Porsche 911,Atlas entity: vehicle,vehicle,porsche-911,"[{""scheme"": ""wikidata"", ""value"": ""Q219357""}]"
p911:veh_000102,Porsche 911 G-Series,Atlas entity: vehicle,vehicle,porsche-911-g-series,
p911:veh_000101,Porsche 911 Original,Atlas entity: vehicle,vehicle,porsche-911-original,
p911:veh_000111,Porsche 911 Targa (original generation),Atlas entity: vehicle,vehicle,porsche-911-targa-original,
p911:veh_000112,Porsche 911 Turbo (G-Series / Type 930),Atlas entity: vehicle,vehicle,porsche-911-turbo-930,
p911:veh_000103,Porsche 911 Type 964,Atlas entity: vehicle,vehicle,porsche-911-964,
p911:veh_000107,Porsche 911 Type 991,Atlas entity: vehicle,vehicle,porsche-911-991,
p911:veh_000108,Porsche 911 Type 992,Atlas entity: vehicle,vehicle,porsche-911-992,
p911:veh_000104,Porsche 911 Type 993,Atlas entity: vehicle,vehicle,porsche-911-993,
p911:veh_000105,Porsche 911 Type 996,Atlas entity: vehicle,vehicle,porsche-911-996,
p911:veh_000106,Porsche 911 Type 997,Atlas entity: vehicle,vehicle,porsche-911-997,
p917:veh_000020,Porsche 917,Atlas entity: vehicle,vehicle,porsche-917,"[{""scheme"": ""wikidata"", ""value"": ""Q1514835""}]"
p917:veh_000021,Porsche 917 K,Atlas entity: vehicle,vehicle,porsche-917-k,
p917:veh_000022,Porsche 917 LH,Atlas entity: vehicle,vehicle,porsche-917-lh,
p917:veh_000023,Porsche 917/10,Atlas entity: vehicle,vehicle,porsche-917-10,
p917:veh_000024,Porsche 917/30,Atlas entity: vehicle,vehicle,porsche-917-30,
p911:veh_000109,Porsche Type 754 T7,Atlas entity: vehicle,vehicle,porsche-type-754-t7,
p917:vin_000001,Porsche 917-001,Atlas entity: vehicle_instance,vehicle_instance,porsche-917-001,
p917:vin_000002,Porsche 917-023,Atlas entity: vehicle_instance,vehicle_instance,porsche-917-023,
